"No.","Time","Source","Destination","Protocol","Length","Info"
"568","2.133657","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=136807 Ack=1320 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"569","2.133657","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=138187 Ack=1320 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"570","2.133657","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=139567 Ack=1320 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"571","2.133884","192.168.255.117","104.70.235.169","TCP","54","50087  >  443 [ACK] Seq=1427 Ack=140947 Win=4193 Len=0"
"572","2.139578","104.70.235.169","192.168.255.117","TLSv1.2","1434","Application Data [TCP segment of a reassembled PDU]"
"573","2.139578","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=142327 Ack=1320 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"574","2.139578","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=143707 Ack=1320 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"575","2.139578","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=145087 Ack=1320 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"576","2.139578","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=146467 Ack=1320 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"577","2.139578","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=147847 Ack=1320 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"578","2.139578","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=149227 Ack=1320 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"579","2.139578","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=150607 Ack=1320 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
